Zimmer: 27.06.24-30.06.24,Preis
Ein bett im Keller/ Abstellraum,38 CHF pro Nacht
Engelburg Zuhause mit Aussicht,51 CHF pro Nacht
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,98 CHF pro Nacht
Komfortables Einzelzimmer,37 CHF pro Nacht
"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",102 CHF pro Nacht
Casa Siddhartha - „Hemingway“,47 CHF pro Nacht
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",52 CHF pro Nacht
Nah an der Natur und ÖV vor der Tür,75 CHF pro Nacht
Privatzimmer - Tolle Aussicht auf den See,61 CHF pro Nacht
"Privatzimmer in St. Gallen Olma, Uni, HSG, FHS2",62 CHF pro Nacht
"Privatzimmer im Baudenkmal, zentral gelegen",54 CHF pro Nacht
"Herisau, Zuhause mittendrin und trotzdem ruhig",58 CHF pro Nacht
1er Zimmer ruhig 5 Min. bis ÖV,63 CHF pro Nacht
Säntiszimmer,42 CHF pro Nacht
Casa Siddhartha - R. Musil,61 CHF pro Nacht
Gartenstudio in Appenzellerhaus,78 CHF pro Nacht
Studio über Bäckerei,71 CHF pro Nacht
In der Natur auftanken,45 CHF pro Nacht
Casa Siddhartha - Th. Mann,57 CHF pro Nacht
"Privatzimmer in St. Gallen Olma, Uni, HSG, FHS1",54 CHF pro Nacht
Studio Pfauen Appenzell,65 CHF pro Nacht
"Privatzimmer St Gallen Olma, Uni, HSG, FHS3",60 CHF pro Nacht
"Casa Siddhartha - H.Hesse""",53 CHF pro Nacht
Im Grünen nahe des Zentrum (Familienzimmer 2+2),69 CHF pro Nacht
Luxuriöses Hotelzimmer im Grünen,103 CHF pro Nacht
"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",146 CHF pro Nacht
Gemütliche Unterkunft am ruhigen Stadtrand,110 CHF pro Nacht
Das Haus mit dem Schwein,71 CHF pro Nacht
wunderschönes studio im dorfkern von trogen,86 CHF pro Nacht
Gemütliche möblierte Attika nähe HSG Uni & OLMA,146 CHF pro Nacht
Zimmer: 10.10.24-20.10.24,Preis
Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli,54 CHF pro Nacht
Poliba St.Gallen-3 1/2 zimmer wohnung,48 CHF pro Nacht
Nachhaltig Wohnen ohne Kompromisse!,83 CHF pro Nacht
Ein bett im Keller/ Abstellraum,33 CHF pro Nacht
kleines ruhiges Dach-Zimmer,41 CHF pro Nacht
gemütliches Dach-Zimmer,41 CHF pro Nacht
Fühlen sie sich wie zu Hause,42 CHF pro Nacht
Zur Geduld,85 CHF pro Nacht
Studio mit Charme und Aussicht,58 CHF pro Nacht
Studio mit Panoramaaussicht,58 CHF pro Nacht
"2.5 Zimmer mit Balkon Nähe Spital, Uni",95 CHF pro Nacht
TouchBed | Budget Studio,101 CHF pro Nacht
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",49 CHF pro Nacht
Neu möblierte schöne Wohnung im Zentrum *AppleTV*,105 CHF pro Nacht
1 Zimmer in einer gemütlichen Wohnung,36 CHF pro Nacht
winzige Wohnung,93 CHF pro Nacht
Eine gemütliche Altbau Wohnung mit Charme.,54 CHF pro Nacht
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,81 CHF pro Nacht
TouchBed | Budget Doppelzimmer,84 CHF pro Nacht
Charmante Jugendstilwohnung,88 CHF pro Nacht
St. Gallen ist schön,43 CHF pro Nacht
einfaches Zimmer,43 CHF pro Nacht
"2 Zimmer mit Balkon, Netflix und Mietfahrräder",98 CHF pro Nacht
"Privatzimmer im Baudenkmal, zentral gelegen",51 CHF pro Nacht
Ganze Wohnung mitten in der Altstadt von Arbon,61 CHF pro Nacht
Studio Trailalps: Nähe St. Gallen,66 CHF pro Nacht
Wissegg gaden - Umgebaute Scheune,25 CHF pro Nacht
"ruhige, neue Dachwohnung an Altstadt, nahe Messe",114 CHF pro Nacht
2.New Apartment 2 Min vom Bahnhof,139 CHF pro Nacht
Zimmer III/III direkt am Bahnhof St.Gallen,80 CHF pro Nacht