Name,Preis pro Nacht
Engelburg Home with a view,51 CHF per night
Comfortable single bedroom,37 CHF per night
Room St. Gallen close to University,98 CHF per night
Studio Pfauen Appenzell,65 CHF per night
Cozy furnished attic near HSG Uni & OLMA,146 CHF per night
Luxurious hotel room in the countryside,103 CHF per night
Garden studio in Appenzellerhaus,78 CHF per night
"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",102 CHF per night
"Histor. grossbürgerl. Residential building, quiet location",52 CHF per night
Close to nature and public transport in front of,75 CHF per night
"Herisau, home in the middle of it and yet quiet",58 CHF per night
Charming apartment in the countryside yet central,116 CHF per night
Charming Vacation Rental,88 CHF per night
MIND the GAP on Lake Constance,183 CHF per night
Beautiful studio surrounded by nature,"119 CHF per night, originally 132 CHF"
Ground floor studio in the center of the village,118 CHF per night
Your home in Herisau,169 CHF per night
Leimathof Apartment type I,218 CHF per night
Unique lakefront location with endless views,197 CHF per night
Studio above bakery,71 CHF per night
Room with a view,"78 CHF per night, originally 90 CHF"
Modern attic apartment close HSG University & OLMA,147 CHF per night
"Private 2.5 room WHG with balcony, Mama Home W33",134 CHF per night
Ferienwohnung Rotenwies,163 CHF per night
Comfortable room/bathroom & breakfast,77 CHF per night
2 room apartment with mountain view,121 CHF per night
"House with character, garden stocked and in the village",188 CHF per night
Dreamlike family holidays in country house,353 CHF per night
"Private room in the monument, centrally located",54 CHF per night
"Private Room in St Gallen Olma, Uni, HSG, FHS2",62 CHF per night
Cosy central 1-room studio at Gertrud Schlössli,"54 CHF per night, originally 60 CHF"
Sustainable living without compromises!,83 CHF per night
Poliba St.Gallen-3 1/2 room apartment,48 CHF per night
"2.5 rooms with balcony near Spital, Uni",95 CHF per night
Spacious apartment in the city,"147 CHF per night, originally 160 CHF"
Studio with charm and views,"58 CHF per night, originally 69 CHF"
For patience,"85 CHF per night, originally 95 CHF"
Newly furnished beautiful apartment in the center *AppleTV*,"105 CHF per night, originally 114 CHF"
Studio with a panoramic view,"58 CHF per night, originally 69 CHF"
TouchBed | Budget Studio,101 CHF per night
Sky-Town Apartment,110 CHF per night
2. New apartment 2 min from station,"139 CHF per night, originally 158 CHF"
"2.5 rooms, modern, quiet and close to the center",124 CHF per night
tiny flat,93 CHF per night
"Close to theater, Olma, university, city center",130 CHF per night
Modern attic apartment close HSG University & OLMA,"106 CHF per night, originally 117 CHF"
Core renovated apartment near train station and center,130 CHF per night
"quiet, new attic apartment on the old town, near Messe","114 CHF per night, originally 124 CHF"
GöttiFritz - 360Grad Views with Breakfast,"187 CHF per night, originally 225 CHF"
"Beautiful, bright, large apartment with balcony *SmartTV","120 CHF per night, originally 131 CHF"
Charming Art Nouveau apartment,"88 CHF per night, originally 95 CHF"
"2 rooms with balcony, Netflix and rental bikes",98 CHF per night
Exclusive mini villa with plenty of space,"190 CHF per night, originally 217 CHF"
Eco-friendly rooftop apart. St. Gallen center,"241 CHF per night, originally 263 CHF"
Cozy & Large*Newly renovated apartment*SmartTV,"125 CHF per night, originally 136 CHF"
Room St. Gallen close to University,"82 CHF per night, originally 89 CHF"
1.New apartment 2 min from station,"139 CHF per night, originally 158 CHF"
2.5 room attic apartment with patio,121 CHF per night
Studio/Loft in the countryside Individual Old House,126 CHF per night
"Top break, cottage with a mountain view","129 CHF per night, originally 142 CHF"