,Juni,,,,Oktober,
Nr,Name,Preis pro Nacht,,Nr,Name,Preis pro Nacht
1,1 Zimmerwohnung ohne Küche mitten im Zentrum,83 CHF pro Nacht,,1,Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli,"54 CHF pro Nacht, ursprünglich 60 CHF"
2,Genieße den Seeblick von der Dachterrasse aus,183 CHF pro Nacht,,2,Grosszügige Wohnung in der Stadt,"147 CHF pro Nacht, ursprünglich 160 CHF"
3,Charmante Wohnung auf dem Lande und doch zentral,116 CHF pro Nacht,,3,"2.5 Zimmer mit Balkon Nähe Spital, Uni",97 CHF pro Nacht
4,"Central, Cozy Home near HSG/FH/Olma-Area/Hospital",102 CHF pro Nacht,,4,Zur Geduld,"87 CHF pro Nacht, ursprünglich 97 CHF"
5,Gartenstudio in Appenzellerhaus,"77 CHF pro Nacht, ursprünglich 83 CHF",,5,2.New Apartment 2 Min vom Bahnhof,"139 CHF pro Nacht, ursprünglich 158 CHF"
6,Zimmer in St. Gallen ruhig gelegen,33 CHF pro Nacht,,6,Sky-Town Apartment,110 CHF pro Nacht
7,Gemütliche möblierte Attika nähe HSG Uni & OLMA,140 CHF pro Nacht,,7,TouchBed | Budget Studio,101 CHF pro Nacht
8,St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,98 CHF pro Nacht,,8,Studio mit Charme und Aussicht,"58 CHF pro Nacht, ursprünglich 69 CHF"
9,"Helle Neubauwohnung (1 BR, NR)","83 CHF pro Nacht, ursprünglich 101 CHF",,9,"2.5 Zimmer, modern, ruhig und zentrumsnah",124 CHF pro Nacht
10,Nah an der Natur und ÖV vor der Tür,75 CHF pro Nacht,,10,ruhiges Tiny House in der Nähe des Waldes,"107 CHF pro Nacht, ursprünglich 121 CHF"
11,Ruhiges Wohlfühlzimmer mit eigenem Bad,"81 CHF pro Nacht, ursprünglich 89 CHF",,11,"Nähe Theater, Olma, Uni, Stadtzentrum",129 CHF pro Nacht
12,Leimathof Wohnung Typ I,218 CHF pro Nacht,,12,Kernsanierte Wohnung nähe Bahnhof und Zentrum,130 CHF pro Nacht
13,Die charmante Ferienwohnung,87 CHF pro Nacht,,13,Ganze Wohnung mitten in der Altstadt von Arbon,"61 CHF pro Nacht, ursprünglich 69 CHF"
14,Zentrale Ferienwohnung am Bodensee,134 CHF pro Nacht,,14,Charmante Wohnung im Zentrum von Goldach,"73 CHF pro Nacht, ursprünglich 79 CHF"
15,Gemütliche Loft in umgebauter Remise,152 CHF pro Nacht,,15,Atelier/Loft im Grünen Individuelles Altes Haus,126 CHF pro Nacht
16,"Zwei helle Zimmer, Küche und Bad",88 CHF pro Nacht,,16,Grosszügige Garten-Wohnung,"132 CHF pro Nacht, ursprünglich 144 CHF"
17,Ferienwohnung klein aber fein,88 CHF pro Nacht,,17,"Attika 2,5 Zimmer möbliert Nähe HSG Universität","106 CHF pro Nacht, ursprünglich 117 CHF"
18,Ganze Wohnung mitten in der Altstadt von Arbon,94 CHF pro Nacht,,18,Genieße den Seeblick von der Dachterrasse aus,"153 CHF pro Nacht, ursprünglich 175 CHF"
19,Wellness,296 CHF pro Nacht,,19,Einzigartige Lage direkt am See mit endlosem Blick,"179 CHF pro Nacht, ursprünglich 196 CHF"
20,wunderschönes studio im dorfkern von trogen,86 CHF pro Nacht,,20,Neu möblierte schöne Wohnung im Zentrum *AppleTV*,"107 CHF pro Nacht, ursprünglich 117 CHF"
21,Privatzimmer - Tolle Aussicht auf den See,61 CHF pro Nacht,,21,Studio Trailalps: Nähe St. Gallen,"66 CHF pro Nacht, ursprünglich 80 CHF"
22,"Attika 2,5 Zimmer möbliert Nähe HSG Universität",147 CHF pro Nacht,,22,"2 Zimmer mit Balkon, Netflix und Mietfahrräder",100 CHF pro Nacht
23,Klein aber Fein in Rorschach (Nichtraucherwohnung),"94 CHF pro Nacht, ursprünglich 103 CHF",,23,1.New Apartment 2 Min vom Bahnhof,"139 CHF pro Nacht, ursprünglich 158 CHF"
24,"Luftiges Studio @sunehus.ch, mit OSKAR Gästekarte",123 CHF pro Nacht,,24,Charmante Jugendstilwohnung,"88 CHF pro Nacht, ursprünglich 95 CHF"
25,1er Zimmer ruhig 5 Min. bis ÖV,63 CHF pro Nacht,,25,Schmuckes Reiheneinfamilienhaus,"89 CHF pro Nacht, ursprünglich 97 CHF"
26,Idyllischer Bauwagen auf dem Bio Bauernhof,125 CHF pro Nacht,,26,Einzigartige Lage mit Blick über die ganze Stadt,"145 CHF pro Nacht, ursprünglich 161 CHF"
27,Idyllisches Plätzchen in Thurgauer Weiler,98 CHF pro Nacht,,27,Studio mit Panoramaaussicht,"58 CHF pro Nacht, ursprünglich 69 CHF"
28,"Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33",134 CHF pro Nacht,,28,"ruhige, neue Dachwohnung an Altstadt, nahe Messe","114 CHF pro Nacht, ursprünglich 124 CHF"
29,"Privatzimmer in St. Gallen Olma, Uni, HSG, FHS2",62 CHF pro Nacht,,29,Gemütliche Loft in umgebauter Remise,119 CHF pro Nacht
30,Zu Gast im Hecht Rehetobel,96 CHF pro Nacht,,30,spezielle Wohnung in Goldach,75 CHF pro Nacht
31,Ort für Auszeit im Grünen,115 CHF pro Nacht,,31,Gartenstudio in Appenzellerhaus,"66 CHF pro Nacht, ursprünglich 72 CHF"
32,Ruhiges Zimmer in ländlicher Umgebung nahe SG,58 CHF pro Nacht,,32,Umweltfreundl. Rooftop Apart. St. Gallen Zentrum,"241 CHF pro Nacht, ursprünglich 263 CHF"
33,hübsche 2 1/2 Zimmer Dachwohnung,100 CHF pro Nacht,,33,winzige Wohnung,93 CHF pro Nacht
34,Zimmer mit traumhaftem Ausblick,"86 CHF pro Nacht, ursprünglich 98 CHF",,34,1 Zimmerwohnung ohne Küche mitten im Zentrum,75 CHF pro Nacht
35,Gemütliche Unterkunft am ruhigen Stadtrand,110 CHF pro Nacht,,35,Gemütlich & Gross*Neu renovierte Wohnung*SmartTV,"128 CHF pro Nacht, ursprünglich 140 CHF"
36,Komfortables Einzelzimmer,37 CHF pro Nacht,,36,Schönes Studio in St. Gallen,"68 CHF pro Nacht, ursprünglich 74 CHF"
37,"Gelb, gelb, gelb, gelb!",187 CHF pro Nacht,,37,2.5 Zimmer Dachwohnung mit Gartensitzplatz,121 CHF pro Nacht
38,"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",146 CHF pro Nacht,,38,"Schöne, helle, grosse Wohnung mit Balkon *SmartTV","122 CHF pro Nacht, ursprünglich 134 CHF"
39,Komfortables Zimmer/Bad & Frühstück,77 CHF pro Nacht,,39,Cresta,"147 CHF pro Nacht, ursprünglich 170 CHF"
40,Haus MiLu Ferienwohnung,161 CHF pro Nacht,,40,Gemütliche Ferienwohnung auf Bio Bauernhof,"99 CHF pro Nacht, ursprünglich 108 CHF"
41,Leimathof Attika,264 CHF pro Nacht,,41,St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,"82 CHF pro Nacht, ursprünglich 89 CHF"
42,Schönes Haus an ruhiger Lage (Zimmer 1),81 CHF pro Nacht,,42,"Modernes, hochwertiges Studio","61 CHF pro Nacht, ursprünglich 73 CHF"
43,Wunderschöne Jugendstil-Wohnung Nähe Olma und Uni,231 CHF pro Nacht,,43,Helle Wohnung über St.Gallen,"102 CHF pro Nacht, ursprünglich 112 CHF"
44,Säntiszimmer,42 CHF pro Nacht,,44,Charmante Wohnung in Seenähe,73 CHF pro Nacht
45,Schmuckes Zimmer (Bett 140x200 ) nahe REHA Klinik,51 CHF pro Nacht,,45,"Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33","103 CHF pro Nacht, ursprünglich 112 CHF"
46,Tiny House Nähe Sitter,142 CHF pro Nacht,,46,2. Charmante Wohnung in Seenähe,69 CHF pro Nacht
47,Bergfrieden,150 CHF pro Nacht,,47,Moderne Einliegerwohnung auf Biobauernhof,"108 CHF pro Nacht, ursprünglich 118 CHF"
48,Zentrale Wohnung mit Balkon,119 CHF pro Nacht,,48,"Top Luxusappartement mit Terrasse und Garten, Grat",224 CHF pro Nacht
49,Ferienwohnung 100 m2,163 CHF pro Nacht,,49,Studio,"87 CHF pro Nacht, ursprünglich 101 CHF"
50,Altstadtfeeling am See.,111 CHF pro Nacht,,50,Ferienwohnung klein aber fein,77 CHF pro Nacht
51,Charmante Wohnung in Rotmonten,159 CHF pro Nacht,,51,Schöne 2 1/2 Zimmer Dachwohnung,"98 CHF pro Nacht, ursprünglich 106 CHF"
52,Casa Siddhartha - R. Musil,61 CHF pro Nacht,,52,wunderschönes studio im dorfkern von trogen,"78 CHF pro Nacht, ursprünglich 85 CHF"
53,Unterkünft 2 Minuten von See,91 CHF pro Nacht,,53,Zu Gast im Hecht Rehetobel,"70 CHF pro Nacht, ursprünglich 76 CHF"
54,"Helles, grosses Dachzimmer mit privater Terrasse",63 CHF pro Nacht,,54,Fühlen sie sich wie zu Hause,"43 CHF pro Nacht, ursprünglich 47 CHF"
55,Casa Siddhartha - „Hemingway“,47 CHF pro Nacht,,55,einfaches Flat,"87 CHF pro Nacht, ursprünglich 104 CHF"
56,Doppelzimmer ruhige Lage nahe ÖV,104 CHF pro Nacht,,56,"Zwei helle Zimmer, Küche und Bad",77 CHF pro Nacht
57,"Privatzimmer St Gallen Olma, Uni, HSG, FHS3",60 CHF pro Nacht,,57,2-Zimmer-Wohnung in der Nähe von HSG,"87 CHF pro Nacht, ursprünglich 101 CHF"
58,Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN,51 CHF pro Nacht,,58,"Luftiges Studio @sunehus.ch, mit OSKAR Gästekarte","93 CHF pro Nacht, ursprünglich 111 CHF"
59,"2 Kronberg"" ruhige Lage", freundl. Zimmer," seenah""",59,Ruhiges Wohlfühlzimmer mit eigenem Bad,"76 CHF pro Nacht, ursprünglich 83 CHF"
60,Unterkunft 300m zum Bodensee,"86 CHF pro Nacht, ursprünglich 96 CHF",,60,kleines ruhiges Dach-Zimmer,"41 CHF pro Nacht, ursprünglich 45 CHF"
61,Im Grünen nahe des Zentrum (Familienzimmer 2+2),69 CHF pro Nacht,,61,TouchBed | Budget Doppelzimmer,84 CHF pro Nacht
62,Das Haus mit dem Schwein,71 CHF pro Nacht,,62,Säntiszimmer,44 CHF pro Nacht
63,Das Spielzimmer* am Bodensee,115 CHF pro Nacht,,63,Großes 1 Bett Wohnung. Super zentral,"76 CHF pro Nacht, ursprünglich 82 CHF"
64,"Schönes Zimmer, zentral gelegen",52 CHF pro Nacht,,64,gemütliches Dach-Zimmer,"41 CHF pro Nacht, ursprünglich 45 CHF"
65,Traumhafte Familienferien in Landhaus im Grünen,518 CHF pro Nacht,,65,1er Zimmer ruhig 5 Min. bis ÖV,"57 CHF pro Nacht, ursprünglich 63 CHF"
66,Schöne Wohnung 5 Minuten vom Bodensee/Bodensee entfernt.,199 CHF pro Nacht,,66,Bijou in der Stadt St. Gallen,138 CHF pro Nacht
67,Schönes Haus an ruhiger Lage (Zimmer 2),80 CHF pro Nacht,,67,Schmuckes Zimmer (Bett 140x200 ) nahe REHA Klinik,"42 CHF pro Nacht, ursprünglich 46 CHF"
68,Ein bett im Keller/ Abstellraum,38 CHF pro Nacht,,68,Zimmer III/III direkt am Bahnhof St.Gallen,"81 CHF pro Nacht, ursprünglich 89 CHF"
69,Loft63 am Bodensee,"258 CHF pro Nacht, ursprünglich 314 CHF",,69,Easy Room,45 CHF pro Nacht
70,Sustena- Gastwohnung am Stadtbach,169 CHF pro Nacht,,70,TouchBed | Budget Apartment,146 CHF pro Nacht
71,"YELLOW INN B 28 nähe Uni, Olma, Spital, FHS",146 CHF pro Nacht,,71,TouchBed | Wohnung,162 CHF pro Nacht
72,Gemütliches Appenzeller Haus mit Aussicht,230 CHF pro Nacht,,72,"Charmante, sehr zentral gelegene 4-Zimmerwohnung","179 CHF pro Nacht, ursprünglich 214 CHF"
73,Gemütliches Appenzeller Holzhaus,207 CHF pro Nacht,,73,Privatzimmer - Tolle Aussicht auf den See,64 CHF pro Nacht
74,Im Grünen nahe des Zentrum (Einzelzimmer),69 CHF pro Nacht,,74,Gemütliche Wohnung in St. Gallen,97 CHF pro Nacht
75,"Mini-Studio 1 Pers. in Villa, nächster Hauptbahnhof",200 CHF pro Nacht,,75,Yoli's Ferienwohnung,"96 CHF pro Nacht, ursprünglich 105 CHF"
76,Einzelzimmer - Hotel de charme Römerhof,160 CHF pro Nacht,,76,TouchBed | Superior Studio,128 CHF pro Nacht
77,"Ruhiges, Privates Zimmer im Speicher",104 CHF pro Nacht,,77,Wellness,"248 CHF pro Nacht, ursprünglich 271 CHF"
78,3 Zimmer Appartement,"135 CHF pro Nacht, ursprünglich 158 CHF",,78,Altstadt Dachwohnung,"132 CHF pro Nacht, ursprünglich 150 CHF"
79,"Privatzimmer in St. Gallen HSG, Olma, Uni, FHS4",60 CHF pro Nacht,,79,gemütliche Dachwohnung,"97 CHF pro Nacht, ursprünglich 106 CHF"
80,Doppelzimmer 'Charme' - Hotel de charme Römerhof,182 CHF pro Nacht,,80,"Gelb, gelb, gelb, gelb!","132 CHF pro Nacht, ursprünglich 144 CHF"
81,"YELLOW INN B 24 nähe Uni, Olma, Spital, FHS",146 CHF pro Nacht,,81,Leimathof Attika,"234 CHF pro Nacht, ursprünglich 254 CHF"
82,"Casa Siddhartha - H.Hesse""""",53 CHF pro Nacht,,82,Säntiszimmer,42 CHF pro Nacht
83,"Bei Arnold's, Rehetobel, Anbauwohnung",134 CHF pro Nacht,,83,1 Zimmer in einer gemütlichen Wohnung,50 CHF pro Nacht
84,Heimeliges altes Ferienhäuschen in Wald AR,133 CHF pro Nacht,,84,Penthouse Apartment mit 250m2 Terrasse,"216 CHF pro Nacht, ursprünglich 240 CHF"
85,Pepenezia Zimmer: Koje,98 CHF pro Nacht,,85,einfaches Zimmer,"43 CHF pro Nacht, ursprünglich 47 CHF"
86,"YELLOW INN 8 nähe Uni, Olma, Spital, FHS",146 CHF pro Nacht,,86,Zimmer mit traumhaftem Ausblick,"65 CHF pro Nacht, ursprünglich 77 CHF"
87,Gemütlich im Gasthaus,104 CHF pro Nacht,,87,2-Zimmer - Studio - sehr zentral City,93 CHF pro Nacht
88,Pavillon direkt am Bodensee!,202 CHF pro Nacht,,88,Unterkunft 300m zum Bodensee,"51 CHF pro Nacht, ursprünglich 70 CHF"
89,Casa Siddhartha - Th. Mann,57 CHF pro Nacht,,89,habu Apartments bei OLMA % gemütlicher Aufenthalt,203 CHF pro Nacht
90,Unsere Wohnung eignet sich für die Unterkunft,134 CHF pro Nacht,,90,TouchBed | Großes 3-BR-Apartment Erdgeschoss,277 CHF pro Nacht
91,5 LuxuryApartment★★Kostenloser Parkplatz★Netflix★in der Nähe der Stadt,361 CHF pro Nacht,,91,"Modernes, hochwertiges Studio","87 CHF pro Nacht, ursprünglich 94 CHF"
92,*Star* Apartment mit Panoramasicht*,473 CHF pro Nacht,,92,"Stilvolle 2,5 Zimmer Wohnung",125 CHF pro Nacht
93,Leimathof Wohnung Typ I,218 CHF pro Nacht,,93,Ferienwohnung Hirschen,"138 CHF pro Nacht, ursprünglich 156 CHF"
94,5★2BR City-Apartment★Kostenloser Parkplatz★Netflix,291 CHF pro Nacht,,94,Schöne 2 Zimmer Wohnung,"113 CHF pro Nacht, ursprünglich 123 CHF"
95,Ruhiges Zimmer mit Sitzplatz,"67 CHF pro Nacht, ursprünglich 79 CHF",,95,Tiny House Nähe Sitter,"100 CHF pro Nacht, ursprünglich 113 CHF"
96,Home at Henry,162 CHF pro Nacht,,96,St. Gallen ist schön,"43 CHF pro Nacht, ursprünglich 47 CHF"
97,Ruhige Lage am Bodensee,231 CHF pro Nacht,,97,Haus MiLu Ferienwohnung,153 CHF pro Nacht
98,"2,5 km von der Stadt St. Gallen entfernt","106 CHF pro Nacht, ursprünglich 129 CHF",,98,Gemütliches Appenzeller Haus mit Aussicht,184 CHF pro Nacht
99,Haus mit Schwimmteich,127 CHF pro Nacht,,99,"Eigene 2.5 Zimmer Wohnung 60 m2, St. Gallen","105 CHF pro Nacht, ursprünglich 174 CHF"
100,Appartement Säntisblüte mit Aussicht zum Alpstein,177 CHF pro Nacht,,100,3 Zimmer Appartement,"105 CHF pro Nacht, ursprünglich 126 CHF"